	key	phon	lemma	form	stress_syl
79	șăgi|șagă|Ncfp-n|0	S @ gZ	șagă	șăgi	0
90	șălvirii|șălvirie|Ncfp-n|2	S @ l v i r i j	șălvirie	șălvirii	2
102	șașlâcuri|șașlâc|Ncfp-n|1	S a S l 1 k u r i_0	șașlâc	șașlâcuri	1
105	șabloane|șablon|Ncfp-n|1	S a b l o_X a n e	șablon	șabloane	1
127	șafari|șafar|Ncmp-n|0	S a f a r i_0	șafar	șafari	0
133	șagi|șagă|Ncfp-n|0	S a gZ	șagă	șagi	0
139	șahi|șah|Ncmp-n|0	S a h i_0	șah	șahi	0
144	șahuri|șah|Ncfp-n|0	S a h u r i_0	șah	șahuri	0
149	șahzadele|șahzadea|Ncfp-n|2	S a h z a d e l e	șahzadea	șahzadele	2
173	șalanj|=|Ncfp-n|1	S a l a n Z	=	șalanj	1
179	șale|=|Ncfp-n|0	S a l e	=	șale	0
183	șaltăre|șaltăr|Ncfp-n|0	S a l t @ r e	șaltăr	șaltăre	0
191	șalupe|șalupă|Ncfp-n|1	S a l u p e	șalupă	șalupe	1
198	șaluri|șal|Ncfp-n|0	S a l u r i_0	șal	șaluri	0
201	șalvaragii|șalvaragiu|Ncmp-n|3	S a l v a r a gZ i j	șalvaragiu	șalvaragii	3
207	șalăi|șalău|Ncmp-n|1	S a l @ j	șalău	șalăi	1
214	șamani|șaman|Ncmp-n|1	S a m a n i_0	șaman	șamani	1
229	șampanii|șampanie|Ncfp-n|1	S a m p a n i j	șampanie	șampanii	1
265	șampoane|șampon|Ncfp-n|1	S a m p o_X a n e	șampon	șampoane	1
271	șamponuri|șampon|Ncfp-n|1	S a m p o n u r i_0	șampon	șamponuri	1
277	șanțuri|șanț|Ncfp-n|0	S a n ts u r i_0	șanț	șanțuri	0
281	șanse|șansă|Ncfp-n|0	S a n s e	șansă	șanse	0
290	șantajări|șantajare|Ncfp-n|2	S a n t a Z @ r i_0	șantajare	șantajări	2
335	șantaje|șantaj|Ncfp-n|1	S a n t a Z e	șantaj	șantaje	1
346	șantajiști|șantajist|Ncmp-n|2	S a n t a Z i S t i_0	șantajist	șantajiști	2
351	șantajuri|șantaj|Ncfp-n|1	S a n t a Z u r i_0	șantaj	șantajuri	1
357	șantiere|șantier|Ncfp-n|2	S a n t i e r e	șantier	șantiere	2
363	șantung|=|Ncfp-n|0	S a n t u n g	=	șantung	0
368	șantunguri|șantung|Ncfp-n|0	S a n t u n g u r i_0	șantung	șantunguri	0
398	șargi|șarg|Ncmp-n|0	S a r gZ	șarg	șargi	0
406	șarlatanii|șarlatanie|Ncfp-n|3	S a r l a t a n i j	șarlatanie	șarlatanii	3
413	șarmuri|șarm|Ncfp-n|0	S a r m u r i_0	șarm	șarmuri	0
425	șasiuri|șasiu|Ncfp-n|1	S a s i u r i_0	șasiu	șasiuri	1
429	șaslale|șasla|Ncfp-n|1	S a s l a l e	șasla	șaslale	1
450	șatre|șatră|Ncfp-n|0	S a t r e	șatră	șatre	0
460	șchioape|șchioapă|Ncfp-n|0	S k_j o_X a p e	șchioapă	șchioape	0
524	școlari|școlar|Ncmp-n|1	S k o l a r i_0	școlar	școlari	1
529	școlarități|școlaritate|Ncfp-n|3	S k o l a r i t @ ts i_0	școlaritate	școlarități	3
582	școlarizări|școlarizare|Ncfp-n|3	S k o l a r i z @ r i_0	școlarizare	școlarizări	3
603	școli|școală|Ncfp-n|0	S k o l i_0	școală	școli	0
642	șcrabe|șcrabă|Ncfp-n|0	S k r a b e	șcrabă	șcrabe	0
666	șederi|ședere|Ncfp-n|1	S e d e r i_0	ședere	șederi	1
674	ședințe|ședință|Ncfp-n|1	S e d i n ts e	ședință	ședințe	1
682	șefe|șefă|Ncfp-n|0	S e f e	șefă	șefe	0
687	șefi|șef|Ncmp-n|0	S e f i_0	șef	șefi	0
692	șefii|șefie|Ncfp-n|1	S e f i j	șefie	șefii	1
702	șei|șa|Ncfp-n|0	S e j	șa	șei	0
705	șeici|șeic|Ncmp-n|1	S e i tS	șeic	șeici	1
712	șeicuri|șeic|Ncfp-n|0	S e i k u r i_0	șeic	șeicuri	0
716	șeihi|șeih|Ncmp-n|1	S e i h i_0	șeih	șeihi	1
728	șelfuri|șelf|Ncfp-n|0	S e l f u r i_0	șelf	șelfuri	0
731	șeminee|șemineu|Ncfp-n|2	S e m i n e e	șemineu	șeminee	2
735	șemineuri|șemineu|Ncfp-n|2	S e m i n e u r i_0	șemineu	șemineuri	2
739	șenile|șenilă|Ncfp-n|1	S e n i l e	șenilă	șenile	1
745	șepci|șapcă|Ncfp-n|0	S e p tS	șapcă	șepci	0
751	șeptari|șeptar|Ncmp-n|1	S e p t a r i_0	șeptar	șeptari	1
764	șepteluri|șeptel|Ncfp-n|1	S e p t e l u r i_0	șeptel	șepteluri	1
777	șerbetelnițe|șerbetelniță|Ncfp-n|2	S e r b e t e l n i ts e	șerbetelniță	șerbetelnițe	2
788	șerbi|șerb|Ncmp-n|0	S e r b i_0	șerb	șerbi	0
820	șerifi|șerif|Ncmp-n|1	S e r i f i_0	șerif	șerifi	1
827	șerpași|șerpaș|Ncmp-n|1	S e r p a S i_0	șerpaș	șerpași	1
833	șerpi|șarpe|Ncmp-n|0	S e r p i_0	șarpe	șerpi	0
837	șerpoaice|șerpoaică|Ncfp-n|1	S e r p o_X a j tS e	șerpoaică	șerpoaice	1
903	șervete|șervet|Ncfp-n|1	S e r v e t e	șervet	șervete	1
910	șervețele|șervețel|Ncfp-n|2	S e r v e ts e l e	șervețel	șervețele	2
931	șestine|șestină|Ncfp-n|0	S e s t i n e	șestină	șestine	0
942	șesuri|șes|Ncfp-n|0	S e s u r i_0	șes	șesuri	0
945	șesți|șest|Ncmp-n|0	S e s ts i_0	șest	șesți	0
947	șetre|șatră|Ncfp-n|0	S e t r e	șatră	șetre	0
953	șevrete|șevretă|Ncfp-n|1	S e v r e t e	șevretă	șevrete	1
967	șezlonguri|șezlong|Ncfp-n|1	S e z l o n g u r i_0	șezlong	șezlonguri	1
988	șfare|șfară|Ncfp-n|0	S f a r e	șfară	șfare	0
997	șfarțuri|șfarț|Ncfp-n|0	S f a r ts u r i_0	șfarț	șfarțuri	0
1003	șferi|șfară|Ncfp-n|0	S f e r i_0	șfară	șferi	0
1011	șferturi|șfert|Ncfp-n|1	S f e r t u r i_0	șfert	șferturi	1
1015	șfeșnice|șfeșnic|Ncfp-n|0	S f e S n i tS e	șfeșnic	șfeșnice	0
1022	șfichiuituri|șfichiuitură|Ncfp-n|3	S f i k_j u i t u r i_0	șfichiuitură	șfichiuituri	3
1030	șfichiuri|șfichi|Ncfp-n|0	S f i k_j u r i_0	șfichi	șfichiuri	0
1035	șfori|șfoară|Ncfp-n|0	S f o r i_0	șfoară	șfori	0
1042	șfăițuiri|șfăițuire|Ncfp-n|2	S f @ j ts u i r i_0	șfăițuire	șfăițuiri	2
1050	șiști|șișcă|Ncfp-n|0	S i S t i_0	șișcă	șiști	0
1056	șițe|șiță|Ncfp-n|0	S i ts e	șiță	șițe	0
1087	șicane|șicană|Ncfp-n|1	S i k a n e	șicană	șicane	1
1164	șifoniere|șifonier|Ncfp-n|3	S i f o n i e r e	șifonier	șifoniere	3
1174	șifuri|șif|Ncfp-n|0	S i f u r i_0	șif	șifuri	0
1181	șiite|șiită|Ncfp-n|1	S i i t e	șiită	șiite	1
1195	șilduri|șild|Ncfp-n|0	S i l d u r i_0	șild	șilduri	0
1200	șindrilari|șindrilar|Ncmp-n|2	S i n d r i l a r i_0	șindrilar	șindrilari	2
1206	șine|șină|Ncfp-n|0	S i n e	șină	șine	0
1227	șipci|șipcă|Ncfp-n|0	S i p tS	șipcă	șipci	0
1233	șipculițe|șipculiță|Ncfp-n|2	S i p k u l i ts e	șipculiță	șipculițe	2
1240	șipi|șip|Ncmp-n|0	S i p i_0	șip	șipi	0
1245	șipuri|șip|Ncfp-n|0	S i p u r i_0	șip	șipuri	0
1251	șire|șiră|Ncfp-n|0	S i r e	șiră	șire	0
1256	șireaguri|șireag|Ncfp-n|1	S i r e_X a g u r i_0	șireag	șireaguri	1
1260	șiregle|șireglă|Ncfp-n|1	S i r e g l e	șireglă	șiregle	1
1275	șiretlicuri|șiretlic|Ncfp-n|2	S i r e t l i k u r i_0	șiretlic	șiretlicuri	2
1281	șireturi|șiret|Ncfp-n|1	S i r e t u r i_0	șiret	șireturi	1
1312	șiruri|șir|Ncfp-n|0	S i r u r i_0	șir	șiruri	0
1318	șistificări|șistificare|Ncfp-n|3	S i s t i f i k @ r i_0	șistificare	șistificări	3
1326	șisturi|șist|Ncfp-n|0	S i s t u r i_0	șist	șisturi	0
1330	șlagăre|șlagăr|Ncfp-n|0	S l a g @ r e	șlagăr	șlagăre	0
1349	șlapi|șlap|Ncmp-n|0	S l a p i_0	șlap	șlapi	0
1357	șleahtici|șleahtic|Ncmp-n|0	S l e_X a h t i tS	șleahtic	șleahtici	0
1366	șleahuri|șleah|Ncfp-n|0	S l e_X a h u r i_0	șleah	șleahuri	0
1388	șleauri|șleau|Ncfp-n|0	S l e_X a u r i_0	șleau	șleauri	0
1405	șlehte|șleahtă|Ncfp-n|0	S l e h t e	șleahtă	șlehte	0
1410	șlei|șleau|Ncmp-n|0	S l e j	șleau	șlei	0
1412	șlem|=|Ncfp-n|0	S l e m	=	șlem	0
1418	șlepci|șleapcă|Ncfp-n|0	S l e p tS	șleapcă	șlepci	0
1426	șlepuri|șlep|Ncfp-n|0	S l e p u r i_0	șlep	șlepuri	0
1430	șlibovițe|șliboviță|Ncfp-n|0	S l i b o v i ts e	șliboviță	șlibovițe	0
1437	șlice|șlic|Ncfp-n|0	S l i tS e	șlic	șlice	0
1445	șlifuri|șlif|Ncfp-n|0	S l i f u r i_0	șlif	șlifuri	0
1450	șliri|șlire|Ncfp-n|0	S l i r i_0	șlire	șliri	0
1459	șlițuri|șliț|Ncfp-n|0	S l i ts u r i_0	șliț	șlițuri	0
1466	șlucuri|șluc|Ncfp-n|0	S l u k u r i_0	șluc	șlucuri	0
1470	șmag|=|Ncfp-n|0	S m a g	=	șmag	0
1476	șmale|șmal|Ncfp-n|0	S m a l e	șmal	șmale	0
1491	șmechere|șmecheră|Ncfp-n|0	S m e k_j e r e	șmecheră	șmechere	0
1513	șmecheri|șmecher|Ncmp-n|0	S m e k_j e r i_0	șmecher	șmecheri	0
1520	șmecherii|șmecherie|Ncfp-n|2	S m e k_j e r i j	șmecherie	șmecherii	2
1549	șmecherlâcuri|șmecherlâc|Ncfp-n|2	S m e k_j e r l 1 k u r i_0	șmecherlâc	șmecherlâcuri	2
1597	șmotruri|șmotru|Ncfp-n|0	S m o t r u r i_0	șmotru	șmotruri	0
1601	șnapani|șnapan|Ncmp-n|1	S n a p a n i_0	șnapan	șnapani	1
1607	șnaps|=|Ncfp-n|0	S n a p s	=	șnaps	0
1612	șnapsuri|șnaps|Ncfp-n|0	S n a p s u r i_0	șnaps	șnapsuri	0
1619	șnecuri|șnec|Ncfp-n|0	S n e k u r i_0	șnec	șnecuri	0
1624	șnurceramici|șnurceramică|Ncfp-n|2	S n u r tS e r a m i tS	șnurceramică	șnurceramici	2
1665	șnururi|șnur|Ncfp-n|0	S n u r u r i_0	șnur	șnururi	0
1669	șoși|șoș|Ncmp-n|0	S o S i_0	șoș	șoși	0
1675	șoacăți|șoacăț|Ncmp-n|0	S o_X a k @ ts i_0	șoacăț	șoacăți	0
1689	șoaldine|șoaldină|Ncfp-n|0	S o_X a l d i n e	șoaldină	șoaldine	0
1696	șoante|șoantă|Ncfp-n|0	S o_X a n t e	șoantă	șoante	0
1704	șoapte|șoaptă|Ncfp-n|0	S o_X a p t e	șoaptă	șoapte	0
1715	șoareci|șoarec|Ncmp-n|0	S o_X a r e tS	șoarec	șoareci	0
1716	șoareci|șoarece|Ncmp-n|0	S o_X a r e tS	șoarece	șoareci	0
1725	șobolani|șobolan|Ncmp-n|2	S o b o l a n i_0	șobolan	șobolani	2
1792	șocuri|șoc|Ncfp-n|0	S o k u r i_0	șoc	șocuri	0
1804	șofaj|=|Ncfp-n|1	S o f a Z	=	șofaj	1
1834	șoferi|șofer|Ncmp-n|1	S o f e r i_0	șofer	șoferi	1
1838	șoferițe|șoferiță|Ncfp-n|2	S o f e r i ts e	șoferiță	șoferițe	2
1853	șofrani|șofran|Ncmp-n|1	S o f r a n i_0	șofran	șofrani	1
1865	șoimari|șoimar|Ncmp-n|1	S o j m a r i_0	șoimar	șoimari	1
1871	șoimi|șoim|Ncmp-n|0	S o j m i_0	șoim	șoimi	0
1881	șolduri|șold|Ncfp-n|0	S o l d u r i_0	șold	șolduri	0
1887	șolticării|șolticărie|Ncfp-n|3	S o l t i k @ r i j	șolticărie	șolticării	3
1892	șoltuzi|șoltuz|Ncmp-n|1	S o l t u z i_0	șoltuz	șoltuzi	1
1903	șomere|șomeră|Ncfp-n|1	S o m e r e	șomeră	șomere	1
1908	șomeri|șomer|Ncmp-n|1	S o m e r i_0	șomer	șomeri	1
1916	șomoioage|șomoiog|Ncfp-n|2	S o m o j o_X a gZ e	șomoiog	șomoioage	2
1921	șomoiogele|șomoiogel|Ncfp-n|3	S o m o j o gZ e l e	șomoiogel	șomoiogele	3
1948	șoproane|șopron|Ncfp-n|1	S o p r o_X a n e	șopron	șoproane	1
1957	șopruri|șopru|Ncfp-n|0	S o p r u r i_0	șopru	șopruri	0
1961	șopruțe|șopruț|Ncfp-n|1	S o p r u ts e	șopruț	șopruțe	1
1967	șopruțuri|șopruț|Ncfp-n|1	S o p r u ts u r i_0	șopruț	șopruțuri	1
2018	șopârle|șopârlă|Ncfp-n|1	S o p 1 r l e	șopârlă	șopârle	1
2025	șoricei|șoricel|Ncmp-n|2	S o r i tS e j	șoricel	șoricei	2
2034	șoricioaice|șoricioaică|Ncfp-n|2	S o r i tS o_X a j tS e	șoricioaică	șoricioaice	2
2043	șoriciuri|șorici|Ncfp-n|1	S o r i tS u r i_0	șorici	șoriciuri	1
2046	șoricuri|șorici|Ncfp-n|1	S o r i k u r i_0	șorici	șoricuri	1
2051	șorturi|șort|Ncfp-n|0	S o r t u r i_0	șort	șorturi	0
2058	șorțulețe|șorțuleț|Ncfp-n|2	S o r ts u l e ts e	șorțuleț	șorțulețe	2
2065	șorțuri|șorț|Ncfp-n|0	S o r ts u r i_0	șorț	șorțuri	0
2070	șosele|șosea|Ncfp-n|1	S o s e l e	șosea	șosele	1
2076	șosete|șosetă|Ncfp-n|1	S o s e t e	șosetă	șosete	1
2086	șotii|șotie|Ncfp-n|0	S o t i j	șotie	șotii	0
2090	șotroane|șotron|Ncfp-n|1	S o t r o_X a n e	șotron	șotroane	1
2099	șoturi|șot|Ncfp-n|0	S o t u r i_0	șot	șoturi	0
2106	șovârfi|șovârf|Ncmp-n|1	S o v 1 r f j	șovârf	șovârfi	1
2134	șovăiri|șovăire|Ncfp-n|2	S o v @ i r i_0	șovăire	șovăiri	2
2159	șpăgi|șpagă|Ncfp-n|0	S p @ gZ	șpagă	șpăgi	0
2164	șpăngi|șpangă|Ncfp-n|0	S p @ n gZ	șpangă	șpăngi	0
2172	șpacluri|șpaclu|Ncfp-n|0	S p a k l u r i_0	șpaclu	șpacluri	0
2176	șpage|șpagă|Ncfp-n|0	S p a gZ e	șpagă	șpage	0
2183	șpaisuri|șpais|Ncfp-n|0	S p a j s u r i_0	șpais	șpaisuri	0
2189	șpalturi|șpalt|Ncfp-n|0	S p a l t u r i_0	șpalt	șpalturi	0
2206	șpani|șpan|Ncmp-n|0	S p a n i_0	șpan	șpani	0
2211	șpanuri|șpan|Ncfp-n|0	S p a n u r i_0	șpan	șpanuri	0
2214	șperacle|șperaclu|Ncfp-n|1	S p e r a k l e	șperaclu	șperacle	1
2256	șperțuri|șperț|Ncfp-n|0	S p e r ts u r i_0	șperț	șperțuri	0
2260	șpicherițe|șpicheriță|Ncfp-n|0	S p i k_j e r i ts e	șpicheriță	șpicherițe	0
2267	șpilhozene|șpilhozen|Ncfp-n|0	S p i l h o z e n e	șpilhozen	șpilhozene	0
2270	șpilhozeni|șpilhozen|Ncmp-n|0	S p i l h o z e n i_0	șpilhozen	șpilhozeni	0
2279	șpisuri|șpis|Ncfp-n|0	S p i s u r i_0	șpis	șpisuri	0
2283	șpiți|șpiț|Ncmp-n|0	S p i ts i_0	șpiț	șpiți	0
2288	șpițuri|șpiț|Ncfp-n|0	S p i ts u r i_0	șpiț	șpițuri	0
2294	șplinturi|șplint|Ncfp-n|0	S p l i n t u r i_0	șplint	șplinturi	0
2302	șpori|șpor|Ncmp-n|0	S p o r i_0	șpor	șpori	0
2311	șpraițuri|șpraiț|Ncfp-n|0	S p r a j ts u r i_0	șpraiț	șpraițuri	0
2317	șpringuiri|șpringuire|Ncfp-n|2	S p r i n g u i r i_0	șpringuire	șpringuiri	2
2324	șpringuri|șpring|Ncfp-n|0	S p r i n g u r i_0	șpring	șpringuri	0
2328	șprițuitoare|șprițuitor|Ncfp-n|3	S p r i ts u i t o_X a r e	șprițuitor	șprițuitoare	3
2332	șprițuitori|șprițuitor|Ncmp-n|3	S p r i ts u i t o r i_0	șprițuitor	șprițuitori	3
2340	șprițuri|șpriț|Ncfp-n|0	S p r i ts u r i_0	șpriț	șprițuri	0
2346	șpuluri|șpul|Ncfp-n|0	S p u l u r i_0	șpul	șpuluri	0
2350	șrapnele|șrapnel|Ncfp-n|1	S r a p n e l e	șrapnel	șrapnele	1
2359	șrotuiri|șrotuire|Ncfp-n|2	S r o t u i r i_0	șrotuire	șrotuiri	2
2367	șroturi|șrot|Ncfp-n|0	S r o t u r i_0	șrot	șroturi	0
2370	ștăngi|ștangă|Ncfp-n|0	S t @ n gZ	ștangă	ștăngi	0
2376	ștabi|ștab|Ncmp-n|0	S t a b i_0	ștab	ștabi	0
2381	ștaburi|ștab|Ncfp-n|0	S t a b u r i_0	ștab	ștaburi	0
2385	ștachete|ștachetă|Ncfp-n|1	S t a k_j e t e	ștachetă	ștachete	1
2393	ștafetari|ștafetar|Ncmp-n|2	S t a f e t a r i_0	ștafetar	ștafetari	2
2399	ștafete|ștafetă|Ncfp-n|1	S t a f e t e	ștafetă	ștafete	1
2408	ștaifuri|ștaif|Ncfp-n|0	S t a j f u r i_0	ștaif	ștaifuri	0
2436	ștampile|ștampilă|Ncfp-n|1	S t a m p i l e	ștampilă	ștampile	1
2454	ștanduri|ștand|Ncfp-n|0	S t a n d u r i_0	ștand	ștanduri	0
2472	ștate|ștat|Ncfp-n|0	S t a t e	ștat	ștate	0
2478	ștaufere|ștaufer|Ncfp-n|0	S t a w f e r e	ștaufer	ștaufere	0
2488	șteampuri|șteamp|Ncfp-n|0	S t e_X a m p u r i_0	șteamp	șteampuri	0
2495	șteanduri|șteand|Ncfp-n|0	S t e_X a n d u r i_0	șteand	șteanduri	0
2507	ștempele|ștempel|Ncfp-n|0	S t e m p e l e	ștempel	ștempele	0
2525	ștepi|șteap|Ncmp-n|0	S t e p i_0	șteap	ștepi	0
2535	șterțuri|șterț|Ncfp-n|0	S t e r ts u r i_0	șterț	șterțuri	0
2541	ștergare|ștergar|Ncfp-n|1	S t e r g a r e	ștergar	ștergare	1
2557	ștergeri|ștergere|Ncfp-n|0	S t e r gZ e r i_0	ștergere	ștergeri	0
2623	ștevii|ștevie|Ncfp-n|0	S t e v i j	ștevie	ștevii	0
2640	știfturi|știft|Ncfp-n|0	S t i f t u r i_0	știft	știfturi	0
2645	științe|știință|Ncfp-n|0	S t i j n ts e	știință	științe	0
2669	știmi|știm|Ncmp-n|0	S t i m i_0	știm	știmi	0
2675	știoalfe|știoalfă|Ncfp-n|0	S t j o_X a l f e	știoalfă	știoalfe	0
2686	știoburi|știob|Ncfp-n|0	S t j o b u r i_0	știob	știoburi	0
2707	știrbenii|știrbenie|Ncfp-n|1	S t i r b e n i j	știrbenie	știrbenii	1
2746	știri|știre|Ncfp-n|0	S t i r i_0	știre	știri	0
2795	știuci|știucă|Ncfp-n|0	S t i u tS	știucă	știuci	0
2831	ștofe|ștofă|Ncfp-n|0	S t o f e	ștofă	ștofe	0
2840	ștrafuri|ștraf|Ncfp-n|0	S t r a f u r i_0	ștraf	ștrafuri	0
2846	ștraifuri|ștraif|Ncfp-n|0	S t r a j f u r i_0	ștraif	ștraifuri	0
2853	ștranduri|ștrand|Ncfp-n|0	S t r a n d u r i_0	ștrand	ștranduri	0
2872	ștrasuri|ștras|Ncfp-n|0	S t r a s u r i_0	ștras	ștrasuri	0
2878	ștreanguri|ștreang|Ncfp-n|0	S t r e_X a n g u r i_0	ștreang	ștreanguri	0
2897	ștrengării|ștrengărie|Ncfp-n|2	S t r e n g @ r i j	ștrengărie	ștrengării	2
2902	ștrudele|ștrudel|Ncfp-n|0	S t r u d e l e	ștrudel	ștrudele	0
2910	ștucuri|ștuc|Ncfp-n|0	S t u k u r i_0	ștuc	ștucuri	0
2916	șturțuri|șturț|Ncfp-n|0	S t u r ts u r i_0	șturț	șturțuri	0
2922	ștuțuri|ștuț|Ncfp-n|0	S t u ts u r i_0	ștuț	ștuțuri	0
2928	șușleți|șușlete|Ncmp-n|1	S u S l e ts i_0	șușlete	șușleți	1
2963	șușteri|șușter|Ncmp-n|0	S u S t e r i_0	șușter	șușteri	0
2969	șuștări|șuștăr|Ncmp-n|0	S u S t @ r i_0	șuștăr	șuștări	0
2976	șubeici|șubeică|Ncfp-n|1	S u b e j tS	șubeică	șubeici	1
2984	șublere|șubler|Ncfp-n|0	S u b l e r e	șubler	șublere	0
3041	șucuri|șuc|Ncfp-n|0	S u k u r i_0	șuc	șucuri	0
3045	șuete|șuetă|Ncfp-n|1	S u e t e	șuetă	șuete	1
3103	șuiete|șuiet|Ncfp-n|0	S u j e t e	șuiet	șuiete	0
3109	șunci|șuncă|Ncfp-n|0	S u n tS	șuncă	șunci	0
3120	șunturi|șunt|Ncfp-n|0	S u n t u r i_0	șunt	șunturi	0
3124	șure|șură|Ncfp-n|0	S u r e	șură	șure	0
3129	șuri|șură|Ncfp-n|0	S u r i_0	șură	șuri	0
3136	șurubelnițe|șurubelniță|Ncfp-n|2	S u r u b e l n i ts e	șurubelniță	șurubelnițe	2
3145	șuruburi|șurub|Ncfp-n|1	S u r u b u r i_0	șurub	șuruburi	1
3150	șuste|șustă|Ncfp-n|0	S u s t e	șustă	șuste	0
3202	șuturi|șut|Ncfp-n|0	S u t u r i_0	șut	șuturi	0
3209	șuvițe|șuviță|Ncfp-n|1	S u v i ts e	șuviță	șuvițe	1
3215	șuvoaie|șuvoi|Ncfp-n|1	S u v o_X a j e	șuvoi	șuvoaie	1
3223	șvăboaice|șvăboaică|Ncfp-n|1	S v @ b o_X a j tS e	șvăboaică	șvăboaice	1
3226	șvăboaicele|șvăboaică|Ncfp-n|1	S v @ b o_X a j tS e l e	șvăboaică	șvăboaicele	1
3237	șvabe|șvabă|Ncfp-n|0	S v a b e	șvabă	șvabe	0
3246	șvabi|șvab|Ncmp-n|0	S v a b i_0	șvab	șvabi	0
3266	șvarțuri|șvarț|Ncfp-n|0	S v a r ts u r i_0	șvarț	șvarțuri	0
3274	șvemere|șvemer|Ncfp-n|0	S v e m e r e	șvemer	șvemere	0
3292	șvezi|șved|Ncmp-n|0	S v e z i_0	șved	șvezi	0
3311	țănduri|țandură|Ncfp-n|0	ts @ n d u r i_0	țandură	țănduri	0
3331	țăndări|țandără|Ncfp-n|0	ts @ n d @ r i_0	țandără	țăndări	0
3357	țăpuci|țăpuc|Ncmp-n|1	ts @ p u tS	țăpuc	țăpuci	1
3362	țărănci|țărancă|Ncfp-n|1	ts @ r @ n tS	țărancă	țărănci	1
3381	țărănimi|țărănime|Ncfp-n|2	ts @ r @ n i m i_0	țărănime	țărănimi	2
3401	țărăniști|țărănist|Ncmp-n|2	ts @ r @ n i S t i_0	țărănist	țărăniști	2
3408	țărășenii|tărășenie|Ncfp-n|2	ts @ r @ S e n i j	tărășenie	țărășenii	2
3413	țărance|țărancă|Ncfp-n|1	ts @ r a n tS e	țărancă	țărance	1
3418	țărani|țăran|Ncmp-n|1	ts @ r a n i_0	țăran	țărani	1
3424	țărci|țarcă|Ncfp-n|0	ts @ r tS	țarcă	țărci	0
3429	țări|țară|Ncfp-n|0	ts @ r i_0	țară	țări	0
3435	țărișoare|țărișoară|Ncfp-n|2	ts @ r i S o_X a r e	țărișoară	țărișoare	2
3447	țărmure|=|Ncfp-n|0	ts @ r m u r e	=	țărmure	0
3449	țărmure|țărmur|Ncfp-n|0	ts @ r m u r e	țărmur	țărmure	0
3456	țărmuri|țărm|Ncfp-n|0	ts @ r m u r i_0	țărm	țărmuri	0
3461	țărni|țarnă|Ncfp-n|0	ts @ r n j	țarnă	țărni	0
3470	țambalagii|țambalagiu|Ncmp-n|3	ts a m b a l a gZ i j	țambalagiu	țambalagii	3
3476	țambale|țambal|Ncfp-n|1	ts a m b a l e	țambal	țambale	1
3481	țambaluri|țambal|Ncfp-n|1	ts a m b a l u r i_0	țambal	țambaluri	1
3501	țanțoșii|țanțoșie|Ncfp-n|2	ts a n ts o S i j	țanțoșie	țanțoșii	2
3510	țapi|țap|Ncmp-n|0	ts a p i_0	țap	țapi	0
3514	țapinari|țapinar|Ncmp-n|2	ts a p i n a r i_0	țapinar	țapinari	2
3542	țarcuri|țarc|Ncfp-n|0	ts a r k u r i_0	țarc	țarcuri	0
3546	țari|țar|Ncmp-n|0	ts a r i_0	țar	țari	0
3552	țarigrădence|țarigrădeancă|Ncfp-n|3	ts a r i g r @ d e n tS e	țarigrădeancă	țarigrădence	3
3557	țarigrădeni|țarigrădean|Ncmp-n|3	ts a r i g r @ d e n i_0	țarigrădean	țarigrădeni	3
3572	țarțamuri|țarțam|Ncfp-n|1	ts a r ts a m u r i_0	țarțam	țarțamuri	1
3588	țeline|țelină|Ncfp-n|0	ts e l i n e	țelină	țeline	0
3593	țelini|țelină|Ncfp-n|0	ts e l i n i_0	țelină	țelini	0
3601	țeluri|țel|Ncfp-n|0	ts e l u r i_0	țel	țeluri	0
3605	țencușe|țencușă|Ncfp-n|1	ts e n k u S e	țencușă	țencușe	1
3614	țepari|țepar|Ncmp-n|1	ts e p a r i_0	țepar	țepari	1
3619	țepe|țeapă|Ncfp-n|0	ts e p e	țeapă	țepe	0
3632	țepi|țep|Ncmp-n|0	ts e p i_0	țep	țepi	0
3659	țesături|țesătură|Ncfp-n|2	ts e s @ t u r i_0	țesătură	țesături	2
3695	țesturi|țest|Ncfp-n|0	ts e s t u r i_0	țest	țesturi	0
3716	țesuturi|țesut|Ncfp-n|1	ts e s u t u r i_0	țesut	țesuturi	1
3723	țevi|țeavă|Ncfp-n|0	ts e v i_0	țeavă	țevi	0
3730	țiștari|țiștar|Ncmp-n|1	ts i S t a r i_0	țiștar	țiștari	1
3739	țițeici|țițeică|Ncfp-n|1	ts i ts e j tS	țițeică	țițeici	1
3750	țiclincuri|țiclinc|Ncfp-n|1	ts i k l i n k u r i_0	țiclinc	țiclincuri	1
3757	țiclinguri|țicling|Ncfp-n|1	ts i k l i n g u r i_0	țicling	țiclinguri	1
3761	țif|=|Ncfp-n|0	ts i f	=	țif	0
3764	țifi|țif|Ncmp-n|0	ts i f i_0	țif	țifi	0
3768	țifuri|țif|Ncfp-n|0	ts i f u r i_0	țif	țifuri	0
3771	țigănci|țigancă|Ncfp-n|1	ts i g @ n tS	țigancă	țigănci	1
3777	țigăncușe|țigăncușă|Ncfp-n|2	ts i g @ n k u S e	țigăncușă	țigăncușe	2
3795	țigări|țigară|Ncfp-n|1	ts i g @ r i_0	țigară	țigări	1
3803	țigani|țigan|Ncmp-n|1	ts i g a n i_0	țigan	țigani	1
3812	țigarete|țigaret|Ncfp-n|2	ts i g a r e t e	țigaret	țigarete	2
