	INDEX	form	lemma	xpos	syllables	stress	phon
29055	29055	aminoplast	=	Ncm--n	a.mi.no.plast	aminopl'ast	a m i n o p l a s t
29056	29056	aminoplast	=	Ncmsvn	a.mi.no.plast	aminopl'ast	a m i n o p l a s t
30463	30463	androsteron	=	Ncfp-n	an.dros.te.ron	androster'on	a n d r o s t e r o n
30464	30464	androsteron	=	Ncm--n	an.dros.te.ron	androster'on	a n d r o s t e r o n
30465	30465	androsteron	=	Ncmsvn	an.dros.te.ron	androster'on	a n d r o s t e r o n
31898	31898	anticlor	=	Ncfp-n	an.ti.clor	anticl'or	a n t i k l o r
31899	31899	anticlor	=	Ncm--n	an.ti.clor	anticl'or	a n t i k l o r
31900	31900	anticlor	=	Ncmsvn	an.ti.clor	anticl'or	a n t i k l o r
32183	32183	antifurt	=	Ncfp-n	an.ti.furt	antif'urt	a n t i f u r t
32184	32184	antifurt	=	Ncm--n	an.ti.furt	antif'urt	a n t i f u r t
32185	32185	antifurt	=	Ncmsvn	an.ti.furt	antif'urt	a n t i f u r t
32508	32508	antipapă	=	Ncfsrn	an.ti.pa.pă	antip'apă	a n t i p a p @
32509	32509	antipapă	=	Ncms-n	an.ti.pa.pă	antip'apă	a n t i p a p @
32595	32595	antipsoriazis	=	Ncfp-n	an.tip.so.ria.zis	antipsori'azis	a n t i p s o r j a z i s
32596	32596	antipsoriazis	=	Ncm--n	an.tip.so.ria.zis	antipsori'azis	a n t i p s o r j a z i s
32597	32597	antipsoriazis	=	Ncmsvn	an.tip.so.ria.zis	antipsori'azis	a n t i p s o r j a z i s
32756	32756	antispast	=	Ncfp-n	an.ti.spast	antisp'ast	a n t i s p a s t
32757	32757	antispast	=	Ncm--n	an.ti.spast	antisp'ast	a n t i s p a s t
32758	32758	antispast	=	Ncmsvn	an.ti.spast	antisp'ast	a n t i s p a s t
32909	32909	antonomaj	=	Ncfp-n	an.to.no.maj	antonom'aj	a n t o n o m a Z
32910	32910	antonomaj	=	Ncm--n	an.to.no.maj	antonom'aj	a n t o n o m a Z
32911	32911	antonomaj	=	Ncmsvn	an.to.no.maj	antonom'aj	a n t o n o m a Z
33707	33707	apendice	=	Ncfp-n	a.pen.di.ce	ap'endice	a p e n d i tS e
33708	33708	apendice	=	Ncms-n	a.pen.di.ce	ap'endice	a p e n d i tS e
34088	34088	apocalips	=	Ncfp-n	a.po.ca.lips	apocal'ips	a p o k a l i p s
34089	34089	apocalips	=	Ncm--n	a.po.ca.lips	apocal'ips	a p o k a l i p s
34090	34090	apocalips	=	Ncmsvn	a.po.ca.lips	apocal'ips	a p o k a l i p s
36005	36005	arheopterix	=	Ncfp-n	ar.he.o.pte.rix	arheopt'erix	a r h e o p t e r i ks
36006	36006	arheopterix	=	Ncm--n	ar.he.o.pte.rix	arheopt'erix	a r h e o p t e r i ks
36007	36007	arheopterix	=	Ncmsvn	ar.he.o.pte.rix	arheopt'erix	a r h e o p t e r i ks
36725	36725	arsen	=	Ncfp-n	ar.sen	ars'en	a r s e n
36726	36726	arsen	=	Ncm--n	ar.sen	ars'en	a r s e n
36727	36727	arsen	=	Ncmsvn	ar.sen	ars'en	a r s e n
36773	36773	artefact	=	Ncfp-n	ar.te.fact	artef'act	a r t e f a k t
