	Unnamed: 0	form	lemma	xpos	syll	stress	phon	syll_count	comment	stress_syl	root
63	724	șelf	=	Ncms-n	șelf	șelf	S e l f	1		0	S e l f
64	732	șemineu	=	Ncms-n	șe.mi.neu	șemin'eu	S e m i n e w	3		2	S e m i n e
65	744	șenilă	=	Ncfsrn	șe.ni.lă	șen'ilă	S e n i l @	3		1	S e n i l
66	750	șeptar	=	Ncms-n	șep.tar	șept'ar	S e p t a r	2		1	S e p t a r
67	757	șepte	=	Ncms-n	șep.te	ș'epte	S e p t e	2		0	S e p t
68	758	șeptel	=	Ncms-n	șep.tel	șept'el	S e p t e l	2		1	S e p t e l
69	767	șerb	=	Ncms-n	șerb	șerb	S e r b	1		0	S e r b
70	782	șerbetelniță	=	Ncfsrn	șer.be.tel.ni.ță	șerbet'elniță	S e r b e t e l n i ts @	5		2	S e r b e t e l n i ts
71	787	șerbi	=	Vmnp	șer.bi	șerb'i	S e r b i	2		1	S e r b
72	790	șerbie	=	Ncfsrn	șer.bi.e	șerb'ie	S e r b i e	3		1	S e r b i
73	819	șerif	=	Ncms-n	șe.rif	șer'if	S e r i f	2		1	S e r i f
74	826	șerpaș	=	Ncms-n	șer.paș	șerp'aș	S e r p a S	2		1	S e r p a S
75	843	șerpoaică	=	Ncfsrn	șer.poai.că	șerpo'aică	S e r p o_X a j k @	3		1	S e r p o_X a j k
76	845	șerpui	=	Vmnp	șer.pu.i	șerpu'i	S e r p u i	3		2	S e r p u
77	882	șerpuit	=	Afpms-n	șer.pu.it	șerpu'it	S e r p u i t	3		2	S e r p u i t
78	902	șervet	=	Ncms-n	șer.vet	șerv'et	S e r v e t	2		1	S e r v e t
79	909	șervețel	=	Ncms-n	șer.ve.țel	șerveț'el	S e r v e ts e l	3		2	S e r v e ts e l
80	915	șes	=	Ncms-n	șes	șes	S e s	1		0	S e s
81	929	șest	=	Ncms-n	șest	șest	S e s t	1		0	S e s t
82	936	șestină	=	Ncfsrn	șes.ti.nă	ș'estină	S e s t i n @	3		0	S e s t i n
83	958	șevretă	=	Ncfsrn	șe.vre.tă	șevr'etă	S e v r e t @	3		1	S e v r e t
84	959	șevrou	=	Ncms-n	șe.vrou	șevr'ou	S e v r o w	2		1	S e v r o
85	963	șezlong	=	Ncms-n	șez.long	șezl'ong	S e z l o n g	2		1	S e z l o n g
86	993	șfară	=	Ncfsrn	șfa.ră	șf'ară	S f a r @	2		0	S f a r
87	994	șfarț	=	Ncms-n	șfarț	șfarț	S f a r ts	1		0	S f a r ts
88	1000	șfei	=	Ncm--n	șfei	șfei	S f e j	1		0	S f e
89	1008	șfert	=	Ncms-n	șf.ert	șf'ert	S f e r t	-1	syll count mismatch	1	S f e r t
90	1014	șfeșnic	=	Ncms-n	șfeș.nic	șf'eșnic	S f e S n i k	2		0	S f e S n i k
91	1020	șfichi	=	Ncms-n	șfichi	șfichi	S f i k_j	1		0	S f i k_j
92	1027	șfichiuitură	=	Ncfsrn	șfi.chiu.i.tu.ră	șfichiuit'ură	S f i k_j u i t u r @	5		3	S f i k_j u i t u r
93	1034	șfoară	=	Ncfsrn	șfoa.ră	șfo'ară	S f o_X a r @	2		0	S f o_X a r
